cluster,gene,,,,,,,,,
3,Potential_gene_33:27285..27959_675_bp,Potential_gene_52:52781..53455_675_bp,Potential_gene_52:47533..48207_675_bp,,,,,,,
1,Potential_gene_71:54329..54589_261_bp,,,,,,,,,
3,Potential_gene_12:13241..13750_510_bp,Potential_gene_6:4910..5419_510_bp,Potential_gene_4:2760..3269_510_bp,,,,,,,
3,Potential_gene_7:5882..7285_1404_bp,Potential_gene_45:42339..43712_1374_bp,Potential_gene_35:32810..34183_1374_bp,,,,,,,
1,Potential_gene_70:75165..75722_558_bp,,,,,,,,,
2,Potential_gene_36:33580..34395_816_bp,Potential_gene_44:42522..43337_816_bp,,,,,,,,
2,Potential_gene_32:30222..30473_252_bp,Potential_gene_30:30222..30473_252_bp,,,,,,,,
6,Potential_gene_4:3074..4372_1299_bp,Potential_gene_7:5512..6810_1299_bp,Potential_gene_12:8568..9866_1299_bp,Potential_gene_11:9737..11035_1299_bp,Potential_gene_8:6563..7861_1299_bp,Potential_gene_11:8568..9866_1299_bp,,,,
2,Potential_gene_19:20638..21030_393_bp,Potential_gene_57:65845..66237_393_bp,,,,,,,,
1,Potential_gene_35:34368..35075_708_bp,,,,,,,,,
1,Potential_gene_2:1004..1174_171_bp,,,,,,,,,
2,Potential_gene_9:7177..7881_705_bp,Potential_gene_67:78993..79697_705_bp,,,,,,,,
3,Potential_gene_14:8612..8965_354_bp,Potential_gene_3:3518..3871_354_bp,Potential_gene_2:2000..2353_354_bp,,,,,,,
1,Potential_gene_23:25554..26750_1197_bp,,,,,,,,,
2,Potential_gene_12:10553..10927_375_bp,Potential_gene_64:76148..76522_375_bp,,,,,,,,
1,Potential_gene_1:26..1966_1941_bp,,,,,,,,,
2,Potential_gene_2:2081..2641_561_bp,Potential_gene_12:11610..12170_561_bp,,,,,,,,
2,Potential_gene_23:13288..13725_438_bp,Potential_gene_17:11401..11838_438_bp,,,,,,,,
2,Potential_gene_49:44184..44654_471_bp,Potential_gene_57:44295..44765_471_bp,,,,,,,,
1,Potential_gene_30:30210..31124_915_bp,,,,,,,,,
8,Potential_gene_2:913..1983_1071_bp,Potential_gene_18:13085..14155_1071_bp,Potential_gene_27:57022..58092_1071_bp,Potential_gene_3:2521..3591_1071_bp,Potential_gene_18:17415..18485_1071_bp,Potential_gene_7:4408..5478_1071_bp,Potential_gene_57:87313..88383_1071_bp,Potential_gene_8:4818..5888_1071_bp,,
1,Potential_gene_75:55387..55674_288_bp,,,,,,,,,
